time,delta_theta_avg
3.273500000000e0,6.083027943380e-4
3.273600000000e0,6.086344071964e-4
3.273700000000e0,6.089657656755e-4
3.273800000000e0,6.092968688753e-4
3.273900000000e0,6.096277158987e-4
3.274000000000e0,6.099583058474e-4
3.274100000000e0,6.102886378233e-4
3.274200000000e0,6.106187109304e-4
3.274300000000e0,6.109485242719e-4
3.274400000000e0,6.112780769519e-4
3.274500000000e0,6.116073680749e-4
3.274600000000e0,6.119363967454e-4
3.274700000000e0,6.122651620684e-4
3.274800000000e0,6.125936631516e-4
3.274900000000e0,6.129218991003e-4
3.275000000000e0,6.132498690207e-4
3.275100000000e0,6.135775720207e-4
3.275200000000e0,6.139050072088e-4
3.275300000000e0,6.142321736932e-4
3.275400000000e0,6.145590705828e-4
3.275500000000e0,6.148856969876e-4
3.275600000000e0,6.152120520174e-4
3.275700000000e0,6.155381347822e-4
3.275800000000e0,6.158639443943e-4
3.275900000000e0,6.161894799653e-4
3.276000000000e0,6.165147406075e-4
3.276100000000e0,6.168397254344e-4
3.276200000000e0,6.171644335587e-4
3.276300000000e0,6.174888640962e-4
3.276400000000e0,6.178130161599e-4
3.276500000000e0,6.181368888667e-4
3.276600000000e0,6.184604813326e-4
3.276700000000e0,6.187837926740e-4
3.276800000000e0,6.191068220085e-4
3.276900000000e0,6.194295684544e-4
3.277000000000e0,6.197520311313e-4
3.277100000000e0,6.200742091566e-4
3.277200000000e0,6.203961016515e-4
3.277300000000e0,6.207177077376e-4
3.277400000000e0,6.210390265365e-4
3.277500000000e0,6.213600571691e-4
3.277600000000e0,6.216807987602e-4
3.277700000000e0,6.220012504322e-4
3.277800000000e0,6.223214113094e-4
3.277900000000e0,6.226412805182e-4
3.278000000000e0,6.229608571834e-4
3.278100000000e0,6.232801404325e-4
3.278200000000e0,6.235991293931e-4
3.278300000000e0,6.239178231926e-4
3.278400000000e0,6.242362209611e-4
3.278500000000e0,6.245543218276e-4
3.278600000000e0,6.248721249235e-4
3.278700000000e0,6.251896293799e-4
3.278800000000e0,6.255068343287e-4
3.278900000000e0,6.258237389036e-4
3.279000000000e0,6.261403422383e-4
3.279100000000e0,6.264566434675e-4
3.279200000000e0,6.267726417269e-4
3.279300000000e0,6.270883361529e-4
3.279400000000e0,6.274037258833e-4
3.279500000000e0,6.277188100556e-4
3.279600000000e0,6.280335878101e-4
3.279700000000e0,6.283480582857e-4
3.279800000000e0,6.286622206243e-4
3.279900000000e0,6.289760739664e-4
3.280000000000e0,6.292896174552e-4
3.280100000000e0,6.296028502354e-4
3.280200000000e0,6.299157714511e-4
3.280300000000e0,6.302283802474e-4
3.280400000000e0,6.305406757715e-4
3.280500000000e0,6.308526571700e-4
3.280600000000e0,6.311643235921e-4
3.280700000000e0,6.314756741866e-4
3.280800000000e0,6.317867081034e-4
3.280900000000e0,6.320974244954e-4
3.281000000000e0,6.324078225134e-4
3.281100000000e0,6.327179013114e-4
3.281200000000e0,6.330276600447e-4
3.281300000000e0,6.333370978668e-4
3.281400000000e0,6.336462139362e-4
3.281500000000e0,6.339550074090e-4
3.281600000000e0,6.342634774444e-4
3.281700000000e0,6.345716232013e-4
3.281800000000e0,6.348794438413e-4
3.281900000000e0,6.351869385256e-4
3.282000000000e0,6.354941064171e-4
3.282100000000e0,6.358009466790e-4
3.282200000000e0,6.361074584771e-4
3.282300000000e0,6.364136409779e-4
3.282400000000e0,6.367194933491e-4
3.282500000000e0,6.370250147572e-4
3.282600000000e0,6.373302043722e-4
3.282700000000e0,6.376350613655e-4
3.282800000000e0,6.379395849077e-4
3.282900000000e0,6.382437741734e-4
3.283000000000e0,6.385476283361e-4
3.283100000000e0,6.388511465702e-4
3.283200000000e0,6.391543280526e-4
3.283300000000e0,6.394571719605e-4
3.283400000000e0,6.397596774729e-4
3.283500000000e0,6.400618437711e-4
3.283600000000e0,6.403636700354e-4
3.283700000000e0,6.406651554471e-4
3.283800000000e0,6.409662991910e-4
3.283900000000e0,6.412671004528e-4
